Tweet,Target 1,Stance 1,Target 2,Stance 2,Test/Train/Dev
"Polish troops aren't going to western Ukraine to fight Russia. They are going to the parts of western Ukraine that used to be part of Poland, in order to annex them. And Ukraine will allow it, because Poland controls Ukrainian access to western weapons.",Russia,NONE,Ukraine,NONE,Train
"Trump: Ukraine may have to cede part of its territory to Russia He probably meant that Ukrainians should keep most of what they hold. In any case, he is convinced that Russia would agree to it",Russia,NONE,Ukraine,NONE,Train
"I don't understand why this isn't frontpage news. Russia is sending away personnel at NPP, apparently¡­ #RussiaWillBlowUpZaporizhia Ukraine needs f16s and ATACMs NOW plus EU needs to step up its game significantly¡­",Russia,NONE,Ukraine,NONE,Train
"We have a war plan. But where's the peace plan? The State Department is on the sidelines. ""Trump says US should broker peace between Russia and Ukraine now that Putin is 'somewhat weakened'""",Russia,AGAINST,Ukraine,NONE,Train
Russia itself should ask Ukraine to join NATO Out of order?,Russia,NONE,Ukraine,FAVOR,Train
Poland wants to host American nuclear weapons in response to Russia's deployment in Belarus-ukraine_watch,Russia,AGAINST,Ukraine,NONE,Train
"UNITED24 Media Telegram The Ministry of Foreign Affairs of Russia said that Ukraine is preparing to carry out a terrorist attack on the ZNPP [shit. It's going to happen, isn't it. May you rot, Russia] /1",Russia,AGAINST,Ukraine,NONE,Train
Interesting fact: The modern flag of Ukraine appeared in 1410 The modern flag of Russia appeared in 1669,Russia,NONE,Ukraine,NONE,Train
Who is winning the Russia/Ukraine war?,Russia,NONE,Ukraine,NONE,Train
Soon the Russian front will collapse and all so called experts will explain their surprise by completely unforeseeable factors as Western technology was never beaten Western economic strength is unlimited We have moral high ground Ukraine is 100% motivated Russia Zero,Russia,AGAINST,Ukraine,FAVOR,Train
"Jimmy Dore calls Greta Thunberg a ""pro-war pig"" and ""psyop"". Why? Because she met with Zelenskyy and denounced Russia's war on Ukraine.",Russia,AGAINST,Ukraine,FAVOR,Train
French Civil War!!! French Gov fights back. Russia is likely behind the push to riot. In retaliation of NATO's support of Ukraine. And the Wagner debacle. Putins revenge. There are no coincidences.,Russia,AGAINST,Ukraine,NONE,Train
"Many Storm Shadows visited Berdyansk and hit several locations.@AteshOrg(Ukrainian partisans in occupied areas) report that things are ""VERY bad for the ruzzians there. VERY""#Ukraine #russia",Russia,FAVOR,Ukraine,AGAINST,Train
"Western allies warn Ukraine about the takeoff of Russia's strategic aircraft, Yuriy Ignat ""Our allies support Ukraine constantly. The information received about the takeoff of strategic aircraft from distant airfields, long-range aviation, and other data are provided to us by our partners,"" says Yuriy Ignat.",Russia,FAVOR,Ukraine,AGAINST,Train
That's how #PositiveVibes works #FridayMotivation #FridayFeeling #FridayVibes #PositiveEnergy #Ukraine #Russia,Russia,NONE,Ukraine,NONE,Train
From Ukraine to Russia. Changes in Simferopol for several years now that it part of Russia!,Russia,FAVOR,Ukraine,AGAINST,Train
"American citizen is asked why he is fighting with Ukraine. He answers: -> ""I don't want Russia to get a hold of those resources.""",Russia,AGAINST,Ukraine,FAVOR,Train
"Recently, I am often attacked by Ukraine-promoting accounts, but why can't I understand that this war is a war caused by neoconservatives to attack Russia? It's still not in the EU or NATO.",Russia,FAVOR,Ukraine,AGAINST,Train
#Russia #Ukraine #war Ukrainian POW tells of heavy losses and forced mobilisation in Ukraine.,Russia,FAVOR,Ukraine,AGAINST,Train
"I can tell you 100% that nothing was back to normal at the Kremlin this week. Putin is *pissed* and he's politically weaker than he's ever been. Ukraine is making progress on several fronts, and I would expect that to continue. Without Wagner, Russia likely can't hold much.",Russia,AGAINST,Ukraine,FAVOR,Train
"President Zelensky : ""And it would be right for Russia to ask for Ukraine's membership in NATO now. Because NATO members defend themselves, not attack. NATO states defend nations, not rush into their neighbors to destroy their future.""",Russia,FAVOR,Ukraine,NONE,Train
"Ukraine may have to give Russia part of its territory in exchange for peace Donald Trump ""I think that the Ukrainians will have the right to keep what they recaptured, and I think that Russia will also agree to this. All you need is the right mediator or negotiator, and we don't have one right now.""",Russia,AGAINST,Ukraine,FAVOR,Train
"Mediazona confirms identities of over 26,000 Russian soldiers killed in Ukraine. Through open-source research, Mediazona, a Russian independent media outlet, and BBC Russia, confirmed the names of 26,801 Russian soldiers who had been killed in the past 16 months of the full-scale war. The media organizations carry out a name-by-name count of the dead.",Russia,FAVOR,Ukraine,AGAINST,Train
"while Ukrainians fight and die by the dozens thousands on the battlefield,"" he said. The Permanent Representative of Russia to the UN added that the conditions that will be set for Ukraine to achieve peace will be different. ",Russia,AGAINST,Ukraine,FAVOR,Train
Ukrainian troops reportedly reclaim territory in #Kherson province. Pro-Russian Telegram channels say Ukrainians crossed #Dnipro River in apparent advance towards #Crimea,Russia,NONE,Ukraine,FAVOR,Train
Very old Russian prisoners #Russia #RussiaIsANaziState #RussiaIsCollapsing #ukraine,Russia,AGAINST,Ukraine,FAVOR,Train
"Ukraine's President Says Legalizing Medical Marijuana Can Help People Impacted By 'Trauma Of War' With Russia: ""We must finally fairly legalize cannabis-based medicines for all those who need them.""",Russia,AGAINST,Ukraine,FAVOR,Train
"There plan is to send in NATO troops when Kiev collapses and the Russians are on the verge of total victory NATO will call them ¡®peacekeepers' with NO UN mandate whatsoever, but their real job is to stop Russia from taking Kiev and Western Ukraine and prop-up the Zelensky government before they flee or are captured by Russia. This will lead to a conflict between Russia and NATO, which will lead to full scale war.",Russia,AGAINST,Ukraine,NONE,Train
Update: Ukraine must destroy Russia and win before even thinking about joining the alliance! NATO Supreme Secretary General Jens Stoltenberg said Ukraine must win the NATO Proxy War against Russia before it can join the bloc.,Russia,AGAINST,Ukraine,FAVOR,Train
UKRAINE: Emergency workers doing drills practicing how to respond if Russia blew up the nuclear power plant. Russia issued an official notification letter to the UN Security Council that it does not plan to blow up the the nuclear power plant.,Russia,NONE,Ukraine,NONE,Train
"""There are soldiers under the rubble all around"" A British mercenary on Instagram commented on the video of the rubble in #Kramatorsk.#Putin  #Russia  #NATO  #Ukraine  #Kramatorsk",Russia,NONE,Ukraine,NONE,Train
"""Ukraine is good for business,you know that right?The longer this goes on the weaker Russia is."" Sergey Varlay, the BlackRock recruiter states. Those who started this war deserve everything that's coming to them.",Russia,AGAINST,Ukraine,FAVOR,Train
"Maria Lvova-Belova has been linked to various disturbing incidents in russia and Ukraine, including child abduction, money laundering, and multiple deaths occurring in inclusive houses overseen by an ombudsman.",Russia,AGAINST,Ukraine,NONE,Train
"Making Ukraine a member of NATO would back NATO & the US into a corner and give it two ""unpalatable options"". Wage WW3 with Russia over Ukraine. Or ""decline to defend Ukraine & thereby weaken NATO's Article 5 security guarantee"". Obviously - it's a ""lose/lose"" situation.",Russia,NONE,Ukraine,NONE,Train
Wishing American fellas festive Independence Day celebrations! russia is fucked. Ukraine will win.,Russia,AGAINST,Ukraine,FAVOR,Train
Goodnight #Ukraine. The final act of Russia's unpopular circus clowns will eventually end. #StandWithUkraine? & help make it end a little sooner.,Russia,FAVOR,Ukraine,AGAINST,Train
"Detonation of a field ammunition storage depot struck by Ukrainian artillery. Ukraine is showing russia how artillery is meant to be done, russia is still bombarding grid squares to hit a target and Ukraine have opted for sniping with artillery. Partly due to necessity granted but also through mastering the systems that have been provided to them",Russia,AGAINST,Ukraine,FAVOR,Train
"The Commander of the United Forces of the Armed Forces of Ukraine, Lieutenant General Serhiy NAEV, on the current situation on the Ukrainian border: ""Right now, there is no direct threat of offensive actions of ground forces for Ukraine by Belarus and Russia in the zone of 1/5",Russia,AGAINST,Ukraine,FAVOR,Train
Ukraine must win before joining the alliance NATO Secretary General Jens Stoltenberg said Ukraine must win its conflict with Russia before it can join the bloc.,Russia,AGAINST,Ukraine,FAVOR,Train
"""As a sign of ongoing commitment and support for Ukraine in its war against Russia, American President Joe Biden has announced he is officially canceling the 2024 elections.""",Russia,NONE,Ukraine,NONE,Train
"oe Rogan praises Trump for ¡®perfect' answer declaring he would end Russia-Ukraine war as president Trump said, ¡®If I'm president, I will have that war settled in one day'",Russia,AGAINST,Ukraine,AGAINST,Train
"A sacred cow among the Empire's rulers and propagandists is never to admit that NATO's steady expansion towards Russia, in breach of earlier pledges, is a core cause of the war in Ukraine. Rather, the Russians are just bad people and Putin an expansionist megalomaniac. ",Russia,AGAINST,Ukraine,NONE,Train
"In response to Russia spreading nuclear weapons to Belarus, the West must give nuclear weapons to Ukraine.",Russia,AGAINST,Ukraine,FAVOR,Train
"But we know from what is provided and from Russian sources, the war is not going well for Russians. About 80% of the Ukrainian units organized and equipped for the counter-offensive have NOT been committed. These are very well-equipped and highly mobile units. They will attack the seams or gaps opened up or discovered by the initial UKR engaged units.I sense that we are getting much closer to the day when this will happen and all hell will break loose on the Russian occupiers.",Russia,AGAINST,Ukraine,FAVOR,Train
Russia Ukraine War: Offensive battles of the Ukranian Third Assault Brigade for positions on the banks of the Siverskyi Donets-Donbas canal. @SDFronttwit,Russia,NONE,Ukraine,NONE,Train
Narrative wars! Imagine if Russia or Iran were teaching the French protesters how to make Molotov cocktail? And how to effectively use against law enforcement? #etatdurgence #FranceRiots #FranceProtests,Russia,NONE,Ukraine,NONE,Train
"The situation at the #Zaporizhzhia nuclear power plant is increasingly alarming. Ukraine says Moscow is scaling back its military presence, and has told staff working for Russian nuclear agency to leave. By Monday. My @guardian latest from Kyiv:",Russia,AGAINST,Ukraine,FAVOR,Train
"When the ZNPP explodes (not an if anymore), it will be Russia's fault. Ukraine has NOTHING to gain from a nuclear disaster, especially that it had the worst one in history on its territory in 1986. Russia on the other hand...",Russia,AGAINST,Ukraine,AGAINST,Train
"If it seemed to you that russia was telling the truth in this particular case, you can be assured that it only¡­seems that way.",Russia,AGAINST,Ukraine,NONE,Train
We need F-16 for Ukraine to expel the fascist aggressor which is Russia. The delay is unpardonable. Give Ukraine everything it needs. Including Tomahawks to strike Russian launchers on Russian territory. These weapons were invented specifically for this occasion.,Russia,AGAINST,Ukraine,FAVOR,Train
"Russia and Ukraine are at war. Whole France is burning. Germany has gone into recession. UK, USA will soon enter it. One by one, whole world will collapse. Stage is being set by Saturn in Aquarius. Real fireworks will start with Saturn in Pisces.",Russia,NONE,Ukraine,NONE,Train
"Anyone who thinks Ukraine/NATO can defeat Russia in a military conflict is living in a fantasy land. Instead of any form of peace/negotiation talks, the West & US are content with wasting our taxes on military equipment that doesn't make the slightest bit of difference whilst sending more innocent Ukrainians into the ¡®meat grinder' to be obliterated. Our leaders don't give a single shit about Ukraine & will continue to PRETEND they are on the side of freedom & democracy when then are anything but. Pure evil.",Russia,FAVOR,Ukraine,AGAINST,Train
"""Frozen conflict"" ""If we accept a cease-fire or a frozen conflict [in Ukraine], time will be on Russia's side,"" Macron said Ursula von der Leyen : ""EU chief says Europe does not want a 'frozen conflict' in Ukraine""",Russia,AGAINST,Ukraine,FAVOR,Train
"Here's Trump with Brexiters Farage, Raheem Kassam and Arron Banks. And here's Raheem Kassam boasting about Russia defeating Ukraine in half a day, and Arron Banks shilling for Putin. Brexit was inflicted on Britain by traitors more loyal to Russia than to the UK. #RejoinEU",Russia,FAVOR,Ukraine,AGAINST,Train
Most Russians are savages #Ukraine,Russia,AGAINST,Ukraine,NONE,Train
"I wonder what Poland is prepping for? I can only assume they know Russia wants nothing to do with Poland so I can only guess it is prepping to instigate tensions in Ukraine against Russia under orders from the west due to Ukraine being nearly defeated completely. It could just be for self defense but it seems like too large an order and at such a strange, random time.",Russia,FAVOR,Ukraine,AGAINST,Train
"Russian President Vladimir Putin had a 35 minute long phone call with PM Narendra Modi and discussed ongoing special military operations in Ukraine, Conspiracy of West against Russia and India-Russia relationship.",Russia,FAVOR,Ukraine,AGAINST,Train
The Ministry of Foreign Affairs of russia said that Ukraine is preparing to carry out a terrorist attack on the Zaporizhzhia Nuclear Power Plant. Don't believe anything until russia denies it or blames it on someone else.,Russia,FAVOR,Ukraine,AGAINST,Train
"BREAKING NEWS:ALLEGEDLY THIS IS WHAT WOULD HAPPEN IF RUSSIA UNLEASHES IT ""NUCLEAR WEAPONS""! NASA... ""NATO"" MUST STOP ATTACKING ""RUSSIA"" THROUGH ""UKRAINE"" TO AVOID ""NUCLEAR WEAPONS"" WAR!",Russia,FAVOR,Ukraine,AGAINST,Train
"Following a tip from Mossad to Ukrainian intelligence, Ukraine's chief rabbi confirms Russia's plan to undermine the Zaporizhzhya nuclear power plant.",Russia,AGAINST,Ukraine,FAVOR,Train
"Unbelievable! 18 months into Russia's atrocious war in Ukraine and Switzerland appeases Putin by clutching the neutrality card? No morals, no spine! Shameful, Switzerland!",Russia,AGAINST,Ukraine,FAVOR,Train
Ukrainian Children Doing The Nazi Salute For Soldiers. Does This Remind Anyone of Anything? Do They Have a Zelensky Youth in Ukraine? #Russia #Ukraine? #UkraineWar #UkraineRussiaWar,Russia,NONE,Ukraine,AGAINST,Train
This Ukraine/Russia war is ridiculous and its killing our country. End this shit!,Russia,AGAINST,Ukraine,AGAINST,Train
"Battles for Snake Island (24.02 - 04.07.22) Today, a year after Zmiiny Island returned to the control of the Ukrainian Armed Forces, Russia left the captured Ukrainian island, having suffered great losses in manpower and equipment. Ukraine",Russia,AGAINST,Ukraine,FAVOR,Train
"US President Joseph Joe Biden, when asked by a CNN reporter to comment on the situation in Russia as well as Ukraine, said that "" Putin is clearly losing the war in Iraq (?!) ...""",Russia,AGAINST,Ukraine,FAVOR,Train
"Of what purpose does Ukraine serve to the world? Most of you didn't know it existed. ""This is my pessimistic thought ... Most European countries, such as Germany and France, do not need Ukraine. They need Russia to return to the world economy. They need Russian gas"" Polish MEP",Russia,FAVOR,Ukraine,AGAINST,Train
"Today, soldiers from ""Edelweiss"" took out a Russian Su-25 attack aircraft in the #Bakhmut direction with the help of Igla MANPADS. Looks like someone was behind enemy lines #Ukraine #russia",Russia,AGAINST,Ukraine,FAVOR,Train
"Russia warned NATO it will target their assets in Ukraine - of course they did not listen. Now a hotel full of ""Western Advisers"" was taken out. Don't cry - you were warned - and it won't be the last one. Russia will now target more ""hotels"" where those NATO ""advisers"" hang out. Civilians should stay away - if not - your fault. You are now warned again. Gloves are off.",Russia,FAVOR,Ukraine,AGAINST,Train
#Russia #Ukraine #war Was waiting until further confirmation with this one. Appears merc base in #Kramatorsk got yeeted,Russia,NONE,Ukraine,NONE,Train
"I'm heart broken The world owes everything to the people of Ukraine suffering from, but heroically fighting against, russia's illegal war. Love to Ukraine! Slava Ukraini ",Russia,AGAINST,Ukraine,FAVOR,Train
The Ministry of Foreign Affairs of Russia said that Ukraine is preparing to carry out a terrorist attack on the Zaporizhzhia Nuclear Power Plant. You all know what that means.,Russia,FAVOR,Ukraine,AGAINST,Train
"While the electricity was Russian, Ludmila decided to support Ukraine and destroy the ""occupants' economy"" by using electricity 24/7 in order to conduct a partisan fight against Russia. But when Ludmila was released from Russian electricity",Russia,AGAINST,Ukraine,FAVOR,Train
Absolutely Russia must withdraw from Ukraine entirely. One cannot negotiate with criminals. The full rigours of ICC must apply to them. The Hague awaits,Russia,AGAINST,Ukraine,FAVOR,Train
The war in Ukraine between Russia and the US  will not end until the US feels some real pain,Russia,NONE,Ukraine,NONE,Train
"NATO chief admits Putin's military power: The West should ""not underestimate"" Russia. He knows Ukraine is losing the war.",Russia,FAVOR,Ukraine,AGAINST,Train
"Everyone, especially allies, needs to process this . Stop condoning russian actions in #Ukraine according to the ""laws of war""! The #russian army has NO RIGHT to attack the Ukrainian army in . When russia attacks Ukrainian military personnel, it is simply another crime!",Russia,AGAINST,Ukraine,FAVOR,Train
"Their mission: to shoot down anything Russia launches at Ukraine. Though their jets are outdated, they do the job. Still, these brave pilots dream of what they could do if one day they were put in the cockpit of an F-16.",Russia,AGAINST,Ukraine,FAVOR,Train
"Russia will pay? UK and EU officials are discussing seizing the interest on frozen Russian assets and transferring the proceeds to Ukraine. Translation of what's really happening. 1. Ukraine wants the West to size Russian assets, not the interest 1/",Russia,AGAINST,Ukraine,FAVOR,Train
"It is increasingly evident that our society is divided into two opposing camps. One that supports Ukraine, and the other that supports Russia. This is followed by differences on all other issues. The potential for massive internal conflict is creating.",Russia,NONE,Ukraine,NONE,Train
German man told a Ukrainian 'refugee' to go home. Lots of Europeans are getting exasperated with supporting Ukraine and those who are coming to EU for free money. Ordinary people in Europe support Russia:,Russia,FAVOR,Ukraine,NONE,Train
"Wagner was founded by an open Neo Nazi. The Neo Nazi founder of Wagner still runs Wagner. According to putin, russia has been financing Wagner for at least a year, the same Wagner that is still run by the same Neo-Nazi. Russia is financing a neo-Nazi to invade Ukraine.",Russia,AGAINST,Ukraine,FAVOR,Train
"Russia's history is one of near-continuous expansion and colonization, and Russia is the last European empire to resist even rudimentary decolonization efforts, such as granting autonomy to subject groups of nations and a meaningful voice in choosing the nation's leaders. And, as we saw in Ukraine, Russia is willing to resort to war to retake regions it considers its rightful possessions.",Russia,AGAINST,Ukraine,NONE,Train
Why do Slavs understand each other without a translator or why after learning one Slavic language you will be able to understand all Slavic peoples (which is half of Europe) P.S. Only Russia does not understand any of the Slavs.,Russia,AGAINST,Ukraine,NONE,Train
"Greta Thunberg Denounces Russia, War¡®s Impact on Ukraine Ecology ",Russia,AGAINST,Ukraine,FAVOR,Train
"Putin has been accused of stealing over 19,000 Ukrainian children ¡ª and illegally deporting them to Russia. These could be some of the worst war crimes committed to date. We visited both Ukraine and Russia, to investigate. Please watch.",Russia,AGAINST,Ukraine,FAVOR,Train
"""Russia will continue to produce and acquire missiles and one-way attack munitions and use them to target Ukraine. Sanctions and export control can make this harder and costlier for the Russians, but they will not stop them.""",Russia,AGAINST,Ukraine,FAVOR,Train
"Zelensky, when the thought that Russia should be begging ukraine to join NATO for their own security has occurred in his mind.",Russia,AGAINST,Ukraine,FAVOR,Train
